date,time,place,reading,type
"Wednesday,August 03,2016","02:00 AM","PUTALISADAK",9,R
"Wednesday,August 03,2016","11:00 PM","SATDOBATO",20,R
"Wednesday,August 03,2016","02:00 PM","THAMEL",17,R
"Wednesday,August 03,2016","11:00 PM","KALANKI",13,R
"Wednesday,August 03,2016","00:00 AM","KOTESHWOR",16,R
"Wednesday,August 03,2016","02:00 AM","PUTALISADAK",9,R
"Wednesday,August 03,2016","11:00 PM","SATDOBATO",20,R
"Wednesday,August 03,2016","02:00 PM","THAMEL",17,R
"Wednesday,August 03,2016","11:00 PM","KALANKI",13,R
"Wednesday,August 03,2016","00:00 AM","KOTESHWOR",16,R
"Wednesday,August 03,2016","02:00 AM","PUTALISADAK",9,R
"Wednesday,August 03,2016","11:00 PM","SATDOBATO",20,R
"Wednesday,August 03,2016","02:00 PM","THAMEL",17,R
"Wednesday,August 03,2016","11:00 PM","KALANKI",13,R
"Wednesday,August 03,2016","00:00 AM","KOTESHWOR",16,R
"Wednesday,August 03,2016","02:00 AM","PUTALISADAK",9,R
"Wednesday,August 03,2016","11:00 PM","SATDOBATO",20,R
"Wednesday,August 03,2016","02:00 PM","THAMEL",17,R
"Wednesday,August 03,2016","11:00 PM","KALANKI",13,R
"Wednesday,August 03,2016","00:00 AM","KOTESHWOR",16,R
"Wednesday,August 03,2016","02:00 AM","PUTALISADAK",9,R
"Wednesday,August 03,2016","11:00 PM","SATDOBATO",20,R
"Wednesday,August 03,2016","02:00 PM","THAMEL",17,R
"Wednesday,August 03,2016","11:00 PM","KALANKI",13,R
"Wednesday,August 03,2016","00:00 AM","KOTESHWOR",16,R
"Wednesday,August 03,2016","02:00 AM","PUTALISADAK",9,R
"Wednesday,August 03,2016","11:00 PM","SATDOBATO",20,R
"Wednesday,August 03,2016","02:00 PM","THAMEL",17,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","05:00 AM","KALANKI",14,R
"Wednesday,August 03,2016","00:00 AM","KOTESHWOR",7,R
"Wednesday,August 03,2016","05:00 AM","SATDOBATO",20,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","06:00 AM","KALANKI",16,R
"Wednesday,August 03,2016","00:00 AM","KOTESHWOR",7,R
"Wednesday,August 03,2016","06:00 AM","SATDOBATO",21,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","07:00 AM","KALANKI",19,R
"Wednesday,August 03,2016","07:00 AM","KOTESHWOR",20,R
"Wednesday,August 03,2016","07:00 AM","SATDOBATO",21,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","08:00 AM","KALANKI",17,R
"Wednesday,August 03,2016","07:00 AM","KOTESHWOR",20,R
"Wednesday,August 03,2016","08:00 AM","SATDOBATO",22,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","09:00 AM","KALANKI",17,R
"Wednesday,August 03,2016","07:00 AM","KOTESHWOR",20,R
"Wednesday,August 03,2016","09:00 AM","SATDOBATO",22,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","09:00 AM","KALANKI",17,R
"Wednesday,August 03,2016","07:00 AM","KOTESHWOR",20,R
"Wednesday,August 03,2016","09:00 AM","SATDOBATO",22,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","11:00 AM","KALANKI",17,R
"Wednesday,August 03,2016","07:00 AM","KOTESHWOR",20,R
"Wednesday,August 03,2016","11:00 AM","SATDOBATO",19,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","00:00 PM","KALANKI",18,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","00:00 PM","SATDOBATO",18,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","01:00 PM","KALANKI",19,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","01:00 PM","SATDOBATO",18,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","02:00 PM","KALANKI",19,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","02:00 PM","SATDOBATO",18,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","03:00 PM","KALANKI",19,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","03:00 PM","SATDOBATO",19,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","04:00 PM","KALANKI",19,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","04:00 PM","SATDOBATO",19,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","05:00 PM","KALANKI",19,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","05:00 PM","SATDOBATO",19,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","06:00 PM","KALANKI",19,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","06:00 PM","SATDOBATO",19,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","07:00 PM","KALANKI",20,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","07:00 PM","SATDOBATO",19,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","08:00 PM","KALANKI",21,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","08:00 PM","SATDOBATO",19,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","09:00 PM","KALANKI",22,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","09:00 PM","SATDOBATO",18,R
"Wednesday,August 03,2016","04:00 AM","BUDDHANILAKANTHA",2,R
"Wednesday,August 03,2016","10:00 PM","KALANKI",22,R
"Wednesday,August 03,2016","00:00 PM","KOTESHWOR",19,R
"Wednesday,August 03,2016","10:00 PM","SATDOBATO",17,R
"Thursday,August 04,2016","11:00 PM","BUDDHANILAKANTHA",3,R
"Thursday,August 04,2016","11:00 PM","KALANKI",22,R
